"Kod";"Nazwa";"ogółem;ogółem;2024;[osoba]";
0000000;"POLSKA";37489087;
0200000;"DOLNOŚLĄSKIE";2868242;
0201000;"Powiat bolesławiecki";87255;
0201011;"Bolesławiec (1)";36795;
0201022;"Bolesławiec (2)";15359;
0201032;"Gromadka (2)";4978;
0201043;"Nowogrodziec (3)";14523;
0201044;"Nowogrodziec - miasto (4)";4050;
0201045;"Nowogrodziec - obszar wiejski (5)";10473;
0201052;"Osiecznica (2)";7198;
0201062;"Warta Bolesławiecka (2)";8402;
0202000;"Powiat dzierżoniowski";93863;
0202011;"Bielawa (1)";27713;
0202021;"Dzierżoniów (1)";30312;
0202033;"Pieszyce (3)";8876;
0202034;"Pieszyce - miasto (4)";6750;
0202035;"Pieszyce - obszar wiejski (5)";2126;
0202041;"Piława Górna (1)";5847;
0202052;"Dzierżoniów (2)";9109;
0202062;"Łagiewniki (2)";7033;
0202073;"Niemcza (3)";4973;
0202074;"Niemcza - miasto (4)";2650;
0202075;"Niemcza - obszar wiejski (5)";2323;
0203000;"Powiat głogowski";84387;
0203011;"Głogów (1)";61206;
0203022;"Głogów (2)";7260;
0203032;"Jerzmanowa (2)";5983;
0203042;"Kotla (2)";4414;
0203052;"Pęcław (2)";2126;
0203062;"Żukowice (2)";3398;
0204000;"Powiat górowski";32054;
0204013;"Góra (3)";18294;
0204014;"Góra - miasto (4)";10623;
0204015;"Góra - obszar wiejski (5)";7671;
0204022;"Jemielno (2)";2636;
0204032;"Niechlów (2)";4454;
0204043;"Wąsosz (3)";6670;
0204044;"Wąsosz - miasto (4)";2510;
0204045;"Wąsosz - obszar wiejski (5)";4160;
0205000;"Powiat jaworski";46822;
0205011;"Jawor (1)";20298;
0205023;"Bolków (3)";9497;
0205024;"Bolków - miasto (4)";4601;
0205025;"Bolków - obszar wiejski (5)";4896;
0205032;"Męcinka (2)";5222;
0205042;"Mściwojów (2)";3943;
0205052;"Paszowice (2)";4181;
0205062;"Wądroże Wielkie (2)";3681;
0206000;"Powiat karkonoski";59864;
0206011;"Karpacz (1)";4140;
0206021;"Kowary (1)";9520;
0206031;"Piechowice (1)";5668;
0206041;"Szklarska Poręba (1)";5588;
0206052;"Janowice Wielkie (2)";4046;
0206062;"Jeżów Sudecki (2)";8002;
0206072;"Mysłakowice (2)";9545;
0206082;"Podgórzyn (2)";8111;
0206092;"Stara Kamienica (2)";5244;
0207000;"Powiat kamiennogórski";39875;
0207011;"Kamienna Góra (1)";16838;
0207022;"Kamienna Góra (2)";8816;
0207033;"Lubawka (3)";10004;
0207034;"Lubawka - miasto (4)";5469;
0207035;"Lubawka - obszar wiejski (5)";4535;
0207042;"Marciszów (2)";4217;
0208000;"Powiat kłodzki";145243;
0208011;"Duszniki-Zdrój (1)";3907;
0208021;"Kłodzko (1)";24503;
0208031;"Kudowa-Zdrój (1)";9145;
0208041;"Nowa Ruda (1)";20100;
0208051;"Polanica-Zdrój (1)";5800;
0208063;"Bystrzyca Kłodzka (3)";17074;
0208064;"Bystrzyca Kłodzka - miasto (4)";8802;
0208065;"Bystrzyca Kłodzka - obszar wiejski (5)";8272;
0208072;"Kłodzko (2)";16369;
0208083;"Lądek-Zdrój (3)";7379;
0208084;"Lądek-Zdrój - miasto (4)";4862;
0208085;"Lądek-Zdrój - obszar wiejski (5)";2517;
0208092;"Lewin Kłodzki (2)";1947;
0208103;"Międzylesie (3)";6695;
0208104;"Międzylesie - miasto (4)";2353;
0208105;"Międzylesie - obszar wiejski (5)";4342;
0208112;"Nowa Ruda (2)";10479;
0208123;"Radków (3)";8330;
0208124;"Radków - miasto (4)";2209;
0208125;"Radków - obszar wiejski (5)";6121;
0208133;"Stronie Śląskie (3)";6702;
0208134;"Stronie Śląskie - miasto (4)";4910;
0208135;"Stronie Śląskie - obszar wiejski (5)";1792;
0208143;"Szczytna (3)";6813;
0208144;"Szczytna - miasto (4)";4742;
0208145;"Szczytna - obszar wiejski (5)";2071;
0209000;"Powiat legnicki";54967;
0209011;"Chojnów (1)";12243;
0209022;"Chojnów (2)";9425;
0209032;"Krotoszyce (2)";3312;
0209042;"Kunice (2)";7782;
0209052;"Legnickie Pole (2)";5353;
0209062;"Miłkowice (2)";7400;
0209073;"Prochowice (3)";7062;
0209074;"Prochowice - miasto (4)";3470;
0209075;"Prochowice - obszar wiejski (5)";3592;
0209082;"Ruja (2)";2390;
0210000;"Powiat lubański";50909;
0210011;"Lubań (1)";19257;
0210021;"Świeradów-Zdrój (1)";3906;
0210033;"Leśna (3)";9169;
0210034;"Leśna - miasto (4)";3942;
0210035;"Leśna - obszar wiejski (5)";5227;
0210042;"Lubań (2)";6462;
0210053;"Olszyna (3)";6262;
0210054;"Olszyna - miasto (4)";4282;
0210055;"Olszyna - obszar wiejski (5)";1980;
0210062;"Platerówka (2)";1487;
0210072;"Siekierczyn (2)";4366;
0211000;"Powiat lubiński";102376;
0211011;"Lubin (1)";66864;
0211022;"Lubin (2)";18812;
0211032;"Rudna (2)";7428;
0211043;"Ścinawa (3)";9272;
0211044;"Ścinawa - miasto (4)";5229;
0211045;"Ścinawa - obszar wiejski (5)";4043;
0212000;"Powiat lwówecki";42465;
0212013;"Gryfów Śląski (3)";9036;
0212014;"Gryfów Śląski - miasto (4)";6061;
0212015;"Gryfów Śląski - obszar wiejski (5)";2975;
0212023;"Lubomierz (3)";5589;
0212024;"Lubomierz - miasto (4)";1772;
0212025;"Lubomierz - obszar wiejski (5)";3817;
0212033;"Lwówek Śląski (3)";15907;
0212034;"Lwówek Śląski - miasto (4)";8015;
0212035;"Lwówek Śląski - obszar wiejski (5)";7892;
0212043;"Mirsk (3)";8067;
0212044;"Mirsk - miasto (4)";3551;
0212045;"Mirsk - obszar wiejski (5)";4516;
0212053;"Wleń (3)";3866;
0212054;"Wleń - miasto (4)";1564;
0212055;"Wleń - obszar wiejski (5)";2302;
0213000;"Powiat milicki";35396;
0213012;"Cieszków (2)";4561;
