"Kod";"Nazwa";"ogółem;2024;[zł]";
0000000;"POLSKA";8630,27;
0200000;"DOLNOŚLĄSKIE";8867,46;
0201000;"Powiat bolesławiecki";7871,38;
0202000;"Powiat dzierżoniowski";7427,26;
0203000;"Powiat głogowski";7768,43;
0204000;"Powiat górowski";7343,09;
0205000;"Powiat jaworski";8025,17;
0206000;"Powiat karkonoski";7244,18;
0207000;"Powiat kamiennogórski";7163,52;
0208000;"Powiat kłodzki";7584,64;
0209000;"Powiat legnicki";7647,40;
0210000;"Powiat lubański";7242,93;
0211000;"Powiat lubiński";13672,98;
0212000;"Powiat lwówecki";7241,91;
0213000;"Powiat milicki";7088,46;
0214000;"Powiat oleśnicki";7402,55;
0215000;"Powiat oławski";7843,30;
0216000;"Powiat polkowicki";8227,63;
0217000;"Powiat strzeliński";8186,35;
0218000;"Powiat średzki";8172,23;
0219000;"Powiat świdnicki";7707,85;
0220000;"Powiat trzebnicki";7792,52;
0221000;"Powiat wałbrzyski";7163,26;
0222000;"Powiat wołowski";9460,94;
0223000;"Powiat wrocławski";9028,15;
0224000;"Powiat ząbkowicki";7386,00;
0225000;"Powiat zgorzelecki";7834,59;
0226000;"Powiat złotoryjski";8084,34;
0261000;"Powiat m. Jelenia Góra";8273,47;
0262000;"Powiat m. Legnica";7928,25;
0264000;"Powiat m. Wrocław";9425,25;
0265000;"Powiat m. Wałbrzych od 2013";8657,86;
0400000;"KUJAWSKO-POMORSKIE";7710,78;
0401000;"Powiat aleksandrowski";7089,71;
0402000;"Powiat brodnicki";6879,20;
0403000;"Powiat bydgoski";7464,58;
0404000;"Powiat chełmiński";6888,32;
0405000;"Powiat golubsko-dobrzyński";7646,59;
0406000;"Powiat grudziądzki";7298,63;
0407000;"Powiat inowrocławski";7385,13;
0408000;"Powiat lipnowski";6696,12;
0409000;"Powiat mogileński";7216,61;
0410000;"Powiat nakielski";7557,18;
0411000;"Powiat radziejowski";7250,97;
0412000;"Powiat rypiński";6705,37;
0413000;"Powiat sępoleński";6733,87;
0414000;"Powiat świecki";7559,21;
0415000;"Powiat toruński";7186,74;
0416000;"Powiat tucholski";6867,11;
0417000;"Powiat wąbrzeski";7259,89;
0418000;"Powiat włocławski";7024,02;
0419000;"Powiat żniński";7038,42;
0461000;"Powiat m. Bydgoszcz";8448,23;
0462000;"Powiat m. Grudziądz";7170,43;
0463000;"Powiat m. Toruń";8324,26;
