id,developer,investment,number,area,price_april,price_may,price_june,price_july,rooms,lat,lng
1,3cityINVEST,Nowa Pólnica,M.01,48.0,590000,590000,590000,590000,3,54.34097,18.562614
2,3cityINVEST,Nowa Pólnica,M.04,60.0,680000,680000,680000,680000,3,54.34097,18.562614
3,3cityINVEST,Nowa Pólnica,M.05,48.0,610000,610000,610000,610000,3,54.34097,18.562614
4,3cityINVEST,Nowa Pólnica,M.06,36.0,480000,480000,480000,490000,2,54.34097,18.562614
5,3cityINVEST,Nowa Pólnica,M.07,67.0,870000,870000,870000,870000,4,54.34097,18.562614
6,3cityINVEST,Nowa Pólnica,M.08,60.0,,,700000,700000,3,54.34097,18.562614
7,3cityINVEST,Nowa Pólnica,M.09,47.0,610000,610000,610000,610000,3,54.34097,18.562614
8,3cityINVEST,Nowa Pólnica,M.10,36.0,510000,510000,510000,510000,2,54.34097,18.562614
9,3cityINVEST,Nowa Pólnica,M.11,67.0,890000,890000,890000,890000,4,54.34097,18.562614
10,3cityINVEST,Nowa Pólnica,M.12,60.0,710000,710000,710000,710000,3,54.34097,18.562614
11,3cityINVEST,Nowa Pólnica,M.13,47.0,620000,620000,620000,620000,3,54.34097,18.562614
12,3cityINVEST,Nowa Pólnica,M.14,36.0,520000,520000,520000,520000,2,54.34097,18.562614
13,3cityINVEST,Nowa Pólnica,M.15,67.0,910000,910000,910000,910000,4,54.34097,18.562614
14,3cityINVEST,Nowa Pólnica,M.18-19,106.0,1420000,1420000,1420000,1420000,4,54.34097,18.562614
15,4K Development Sp. z o.o.,NOVE Dobczyce,0.1.,38.0,380000,380000,380000,410000,2,49.880587,20.097478
16,4K Development Sp. z o.o.,NOVE Dobczyce,0.2.,39.0,390000,390000,390000,410000,2,49.880587,20.097478
17,4K Development Sp. z o.o.,NOVE Dobczyce,0.3.,29.0,290000,290000,290000,310000,1,49.880587,20.097478
18,4K Development Sp. z o.o.,NOVE Dobczyce,0.4.,35.0,350000,350000,350000,370000,1,49.880587,20.097478
19,4K Development Sp. z o.o.,NOVE Dobczyce,1.10.,41.0,410000,410000,410000,440000,2,49.880587,20.097478
20,4K Development Sp. z o.o.,NOVE Dobczyce,1.11.,76.0,750000,750000,750000,800000,3,49.880587,20.097478
21,4K Development Sp. z o.o.,NOVE Dobczyce,1.12.,51.0,510000,510000,510000,540000,2,49.880587,20.097478
22,4K Development Sp. z o.o.,NOVE Dobczyce,1.38.,64.47,640000,,,,3,49.880587,20.097478
23,4K Development Sp. z o.o.,NOVE Dobczyce,1.39.,69.0,680000,680000,680000,730000,3,49.880587,20.097478
24,4K Development Sp. z o.o.,NOVE Dobczyce,1.40.,41.0,410000,410000,410000,440000,2,49.880587,20.097478
25,4K Development Sp. z o.o.,NOVE Dobczyce,1.41.,41.06,410000,,,,2,49.880587,20.097478
26,4K Development Sp. z o.o.,NOVE Dobczyce,1.42.,37.0,370000,370000,370000,390000,2,49.880587,20.097478
27,4K Development Sp. z o.o.,NOVE Dobczyce,1.43.,55.0,,,,590000,3,49.880587,20.097478
28,4K Development Sp. z o.o.,NOVE Dobczyce,1.44.,39.0,390000,390000,390000,420000,2,49.880587,20.097478
29,4K Development Sp. z o.o.,NOVE Dobczyce,1.45.,27.02,270000,,,,1,49.880587,20.097478
30,4K Development Sp. z o.o.,NOVE Dobczyce,1.46.,59.04,590000,,,,3,49.880587,20.097478
31,4K Development Sp. z o.o.,NOVE Dobczyce,1.47.,45.0,450000,450000,450000,480000,2,49.880587,20.097478
32,4K Development Sp. z o.o.,NOVE Dobczyce,1.5.,28.71,290000,,,,1,49.880587,20.097478
33,4K Development Sp. z o.o.,NOVE Dobczyce,1.6.,39.0,390000,390000,390000,410000,2,49.880587,20.097478
34,4K Development Sp. z o.o.,NOVE Dobczyce,1.7.,38.0,380000,380000,380000,410000,2,49.880587,20.097478
35,4K Development Sp. z o.o.,NOVE Dobczyce,1.8.,39.0,390000,390000,390000,420000,2,49.880587,20.097478
36,4K Development Sp. z o.o.,NOVE Dobczyce,1.9.,30.0,300000,300000,300000,310000,1,49.880587,20.097478
37,4K Development Sp. z o.o.,NOVE Dobczyce,2.14.,29.0,290000,290000,290000,310000,1,49.880587,20.097478
38,4K Development Sp. z o.o.,NOVE Dobczyce,2.15.,39.0,390000,390000,390000,,2,49.880587,20.097478
39,4K Development Sp. z o.o.,NOVE Dobczyce,2.16.,38.38,380000,,,,2,49.880587,20.097478
40,4K Development Sp. z o.o.,NOVE Dobczyce,2.17.,39.0,390000,390000,390000,420000,2,49.880587,20.097478
